section,rank,input,input_key,sensitivity_index
Calciner,19,PH-K3 T,phk3_T[K],0.0059
Calciner,20,PH-K2 T,phk2_T[K],0.0056
Calciner,21,PH-K1 T,phk1_T[K],0.0055
Calciner,22,PH-K4 T,phk4_T[K],0.0052
Calciner,23,RM gas flow,rmgas_flow[kg/s],0.0051
Calciner,24,CM gas flow,cmgas_flow[kg/s],0.0048
Calciner,25,Meal split,meal_split[-],0.0046
Calciner,26,PH-C4 T,phc4_T[K],0.0045
Kiln,1,Cooler air 2,clrcair2_flow[kg/s],0.1537
Kiln,2,Raw-meal feed,rawmeal_feed[kg/s],0.1501
Kiln,3,Sec-air split,secair_split[-],0.1464
Kiln,4,Coal split,coal_split[-],0.1454
Kiln,5,Coal feed,coal_feed[kg/s],0.1265
Kiln,6,Calciner T,clcalc_T[K],0.069
Kiln,7,Cooler air 1,clrcair_flow[kg/s],0.0615
Kiln,8,CM dryer T,cmdry_T[K],0.0144
Kiln,9,RM gas T,rmgas_temp[K],0.0116
Kiln,10,RM dryer T,rmdry_T[K],0.0109
Kiln,11,PH-K5 T,phk5_T[K],0.0107
Kiln,12,Gas-heater T,gasht_T[K],0.0095
Kiln,13,RM fan T,rmfan_T[K],0.0081
Kiln,14,PH-C5 T,phc5_T[K],0.0079
Kiln,15,Meal split,meal_split[-],0.0077
Kiln,16,PH-C1 T,phc1_T[K],0.0069
Kiln,17,RM gas flow,rmgas_flow[kg/s],0.0066
Kiln,18,PH-K3 T,phk3_T[K],0.0066
Kiln,19,PH-K4 T,phk4_T[K],0.0065
Kiln,20,CM gas T,cmgas_temp[K],0.0063
Kiln,21,CM gas flow,cmgas_flow[kg/s],0.0062
Kiln,22,PH-K2 T,phk2_T[K],0.0061
Kiln,23,PH-C2 T,phc2_T[K],0.0059
Kiln,24,PH-C4 T,phc4_T[K],0.0056
Kiln,25,PH-C3 T,phc3_T[K],0.0052
Kiln,26,PH-K1 T,phk1_T[K],0.0048
ClinkerCooler,1,Raw-meal feed,rawmeal_feed[kg/s],0.1998
ClinkerCooler,2,Calciner T,clcalc_T[K],0.1523
ClinkerCooler,3,Cooler air 2,clrcair2_flow[kg/s],0.1352
ClinkerCooler,4,Coal split,coal_split[-],0.1132
ClinkerCooler,5,Coal feed,coal_feed[kg/s],0.1104
ClinkerCooler,6,Sec-air split,secair_split[-],0.1078
ClinkerCooler,7,Cooler air 1,clrcair_flow[kg/s],0.0555
ClinkerCooler,8,Gas-heater T,gasht_T[K],0.0103
ClinkerCooler,9,CM dryer T,cmdry_T[K],0.0101
ClinkerCooler,10,RM dryer T,rmdry_T[K],0.0097
ClinkerCooler,11,PH-K5 T,phk5_T[K],0.0089
ClinkerCooler,12,CM gas T,cmgas_temp[K],0.0088
ClinkerCooler,13,RM gas T,rmgas_temp[K],0.0081
ClinkerCooler,14,PH-C5 T,phc5_T[K],0.007
ClinkerCooler,15,PH-C1 T,phc1_T[K],0.0068
ClinkerCooler,16,RM fan T,rmfan_T[K],0.0065
ClinkerCooler,17,PH-K1 T,phk1_T[K],0.0062
ClinkerCooler,18,PH-K2 T,phk2_T[K],0.006
ClinkerCooler,19,CM gas flow,cmgas_flow[kg/s],0.0059
ClinkerCooler,20,PH-C2 T,phc2_T[K],0.005
ClinkerCooler,21,Meal split,meal_split[-],0.0048
ClinkerCooler,22,PH-C3 T,phc3_T[K],0.0047
ClinkerCooler,23,PH-K3 T,phk3_T[K],0.0045
ClinkerCooler,24,PH-K4 T,phk4_T[K],0.0043
ClinkerCooler,25,RM gas flow,rmgas_flow[kg/s],0.0043
ClinkerCooler,26,PH-C4 T,phc4_T[K],0.0039
