sample,status,reason,rawmeal_feed[kg/s],rmgas_flow[kg/s],rmgas_temp[K],coal_feed[kg/s],cmgas_flow[kg/s],cmgas_temp[K],clrcair_flow[kg/s],clrcair2_flow[kg/s],rmfan_T[K],rmdry_T[K],gasht_T[K],cmdry_T[K],phk1_T[K],phk2_T[K],phk3_T[K],phk4_T[K],phk5_T[K],phc1_T[K],phc2_T[K],phc3_T[K],phc4_T[K],phc5_T[K],clcalc_T[K],coal_split[-],secair_split[-],meal_split[-],RawMill_I_B_MW,RawMill_I_A_MW,RawMill_eps,RawMill_eps_capped,RawMill_IP_MW,RawMill_Eclose_MW,CoalMill_I_B_MW,CoalMill_I_A_MW,CoalMill_eps,CoalMill_eps_capped,CoalMill_IP_MW,CoalMill_Eclose_MW,Preheater_I_B_MW,Preheater_I_A_MW,Preheater_eps,Preheater_eps_capped,Preheater_IP_MW,Preheater_Eclose_MW,Calciner_I_B_MW,Calciner_I_A_MW,Calciner_eps,Calciner_eps_capped,Calciner_IP_MW,Calciner_Eclose_MW,Kiln_I_B_MW,Kiln_I_A_MW,Kiln_eps,Kiln_eps_capped,Kiln_IP_MW,Kiln_Eclose_MW,ClinkerCooler_I_B_MW,ClinkerCooler_I_A_MW,ClinkerCooler_eps,ClinkerCooler_eps_capped,ClinkerCooler_IP_MW,ClinkerCooler_Eclose_MW,plant_I_B_MW,plant_IP_MW,plant_eps,coal_ex_MW,clinker_ex_MW,clinker_T_K,NCV_kJkg,plant_spec_I_MJkg,plant_spec_I_MWMW,clinker_mass_kgps,plant_eps_stream
461,OK,,104.57033,177.84138,421.08733,9.09576,32.65091,472.53458,48.54174,104.37126,416.01507,383.32338,461.88117,362.52432,581.68407,801.75341,921.61977,1016.67956,956.76637,547.9601,793.5299,849.50695,899.84403,1090.17164,1222.46289,0.57813,0.57399,0.64495,15.6348,14.5375,0.0582,0,14.7242,0.0,1.5629,1.3019,0.0374,0,1.5044,-0.0,15.149,15.149,0.3322,0,10.1172,0.0,41.4722,39.3749,0.7584,0,10.0205,-0.0,38.505,31.3218,0.4695,0,20.4288,0.0001,16.6307,16.6306,0.5617,0,7.289,-0.0001,128.9546,64.084,0.3573,182.0915,66.8788,1450.77,18760.6,1.8397,1.9282,70.0948,0.3588
462,OK,,100.24144,187.47046,449.37221,8.36947,32.29758,410.02033,45.42468,92.86288,424.29152,376.86477,399.24946,312.87094,560.85428,711.08528,859.17617,1059.60034,945.1668,632.50062,801.11086,905.34066,931.87966,1002.42612,1271.02892,0.54753,0.52969,0.62394,12.3984,11.2983,0.0551,0,11.7155,0.0,1.4481,1.2024,0.002,0,1.4452,-0.0,14.518,14.518,0.2935,0,10.2567,-0.0,38.4505,36.4316,0.8631,0,5.2631,-0.0,35.2499,28.3582,0.4851,0,18.1514,0.0006,17.4334,17.4333,0.5831,0,7.2684,-0.0001,119.4982,54.1003,0.3714,167.4971,64.1087,1571.55,18760.6,1.782,1.864,67.0602,0.3732
463,OK,,110.57249,195.12042,408.60426,7.97794,32.50599,425.12937,49.22559,107.78354,469.79493,375.99883,437.18351,365.86572,550.07155,734.04142,842.20016,989.68402,932.6332,580.61807,811.63983,907.82826,1002.7049,973.87402,1072.53612,0.51888,0.58901,0.61012,15.4329,14.3308,0.0532,0,14.6115,0.0,1.7104,1.4486,0.0402,0,1.6417,-0.0,13.5548,13.5548,0.3696,0,8.545,0.0,32.0477,29.8289,0.9664,0,1.0771,-0.0,40.9941,33.338,0.4765,0,21.4593,-0.0612,15.5395,15.5394,0.551,0,6.9777,-0.0001,119.2794,54.3124,0.4293,159.7187,70.7103,1354.02,18760.6,1.623,1.6869,73.4949,0.4312
464,OK,,110.16435,167.58764,413.28656,7.82124,35.33012,417.19135,47.25219,96.12775,448.23599,347.51621,426.67311,309.01012,626.0653,745.71455,902.70111,900.09641,933.96811,650.61375,811.77811,904.04361,1035.58811,946.90093,1127.46107,0.54638,0.50323,0.61487,9.4992,8.4051,0.036,0,9.1571,0.0,2.133,1.8851,0.0008,0,2.1314,-0.0,13.9559,13.9559,0.375,0,8.7223,0.0,34.3471,32.1286,0.9374,0,2.1496,-0.0001,36.2077,28.6336,0.514,0,17.5958,0.0001,17.1633,17.1635,0.5779,0,7.2441,0.0002,113.3062,47.0003,0.436,156.5239,70.4488,1480.89,18760.6,1.5484,1.6083,73.1753,0.4381
465,OK,,101.95277,174.5678,407.16416,7.64531,33.13914,444.25911,45.55188,99.20118,399.07017,358.80517,414.84519,338.13929,554.74238,817.65776,825.90302,983.25498,935.86506,561.49146,767.72557,884.27838,994.4223,990.41603,1147.11257,0.52338,0.51897,0.64511,12.1101,11.0138,0.0384,0,11.6446,0.0,1.3329,1.0846,0.0145,0,1.3136,0.0,15.1261,15.1261,0.3283,0,10.1599,0.0,33.1411,31.0886,0.9344,0,2.1744,-0.0001,36.355,29.3461,0.4881,0,18.6095,0.0001,16.1717,16.1718,0.5638,0,7.0541,0.0002,114.2368,50.9562,0.4126,153.0229,65.1993,1465.62,18760.6,1.683,1.7521,67.8756,0.4145
466,OK,,104.462,192.01569,429.96853,7.91148,33.35131,407.58412,43.28104,102.52698,463.71061,374.50152,431.67282,331.24448,590.20868,690.97249,843.13532,906.10036,1066.59783,605.24558,782.72006,871.94826,988.11867,960.50102,1259.43764,0.55522,0.53763,0.63866,10.8517,9.7504,0.0705,0,10.0864,-0.0,2.0809,1.8341,0.0077,0,2.0649,-0.0,12.2784,12.2785,0.3586,0,7.8756,0.0,37.7607,35.657,0.879,0,4.5691,-0.0,35.6488,28.4667,0.4894,0,18.2017,0.0001,17.261,17.2611,0.5612,0,7.5746,0.0001,115.8816,50.3723,0.4089,158.3436,66.8044,1496.39,18760.6,1.6655,1.7346,69.5757,0.4108
467,OK,,91.07456,196.31594,408.50073,9.04365,34.23839,453.08392,50.32343,108.05488,465.61187,363.58706,452.03343,334.32326,645.25128,775.27492,972.19435,974.18027,925.77332,534.32862,760.63738,992.20068,1034.77978,1029.1946,1086.58196,0.56529,0.52192,0.68391,14.7527,13.6504,0.0316,0,14.2864,0.0,1.6212,1.3738,0.0127,0,1.6006,-0.0,14.3331,14.3331,0.3227,0,9.7077,-0.0,39.0198,37.1862,0.6595,0,13.2861,0.0,39.2322,32.9205,0.4429,0,21.8544,-0.0503,14.2134,14.2133,0.5297,0,6.6847,-0.0001,123.1723,67.4199,0.3129,181.0066,58.2524,1381.6,18760.6,2.0036,2.1145,61.4747,0.3144
468,OK,,105.38241,174.10901,424.03994,8.03891,32.60677,453.19491,49.17122,96.01934,419.88717,391.63907,409.1942,324.40337,579.82726,722.83082,992.06493,940.27975,1042.60859,538.17279,794.58832,817.02306,891.22816,1023.64653,1099.0275,0.55655,0.54025,0.62321,17.1697,16.0735,0.0636,0,16.0778,-0.0,1.377,1.1313,0.0052,0,1.3698,-0.0,13.4031,13.4031,0.4311,0,7.6255,0.0,34.1116,31.9889,0.7778,0,7.5786,-0.0,37.0426,29.7968,0.4922,0,18.8099,0.0001,15.4985,15.4986,0.5708,0,6.6524,0.0001,118.6025,58.1139,0.4061,160.8883,67.3932,1417.49,18760.6,1.6892,1.7599,70.2107,0.408
469,OK,,105.97181,175.40029,417.72786,8.6341,35.88434,435.61945,50.39959,99.17857,469.25622,384.65875,448.92961,363.43456,603.44277,762.89265,884.54284,1061.81536,1030.98178,585.62505,819.06233,840.45215,1022.53485,1104.38499,1189.38366,0.58301,0.53927,0.67806,15.8326,14.7361,0.0611,0,14.8657,0.0,1.8844,1.622,0.0335,0,1.8213,-0.0,12.9778,12.9778,0.4076,0,7.688,-0.0,39.3666,37.2416,0.7296,0,10.644,0.0004,36.7569,29.4772,0.4887,0,18.7929,0.0001,16.5352,16.5349,0.5731,0,7.0595,-0.0002,123.3535,60.8714,0.3809,172.8508,67.7726,1456.84,18760.6,1.742,1.8201,70.8125,0.3826
470,OK,,96.80069,171.3927,458.15632,7.87376,32.28705,461.0002,48.44653,95.9733,436.38454,391.4856,409.42056,371.52908,606.43238,686.82655,982.37662,1031.63851,1073.35925,629.93797,772.1338,969.88096,894.8409,949.85031,1281.78145,0.5948,0.54751,0.65016,14.4258,13.3304,0.0645,0,13.4953,0.0,1.3889,1.1232,0.048,0,1.3223,-0.0,13.2232,13.2232,0.3488,0,8.6112,0.0,39.2092,37.2714,0.7937,0,8.0875,0.0,33.7533,27.1058,0.476,0,17.6883,0.0001,15.1507,15.1507,0.5649,0,6.5924,-0.0,117.1511,55.7971,0.3807,157.6428,61.9073,1448.62,18760.6,1.8113,1.8924,64.6791,0.3823
