sample,status,reason,rawmeal_feed[kg/s],rmgas_flow[kg/s],rmgas_temp[K],coal_feed[kg/s],cmgas_flow[kg/s],cmgas_temp[K],clrcair_flow[kg/s],clrcair2_flow[kg/s],rmfan_T[K],rmdry_T[K],gasht_T[K],cmdry_T[K],phk1_T[K],phk2_T[K],phk3_T[K],phk4_T[K],phk5_T[K],phc1_T[K],phc2_T[K],phc3_T[K],phc4_T[K],phc5_T[K],clcalc_T[K],coal_split[-],secair_split[-],meal_split[-],RawMill_I_B_MW,RawMill_I_A_MW,RawMill_eps,RawMill_eps_capped,RawMill_IP_MW,RawMill_Eclose_MW,CoalMill_I_B_MW,CoalMill_I_A_MW,CoalMill_eps,CoalMill_eps_capped,CoalMill_IP_MW,CoalMill_Eclose_MW,Preheater_I_B_MW,Preheater_I_A_MW,Preheater_eps,Preheater_eps_capped,Preheater_IP_MW,Preheater_Eclose_MW,Calciner_I_B_MW,Calciner_I_A_MW,Calciner_eps,Calciner_eps_capped,Calciner_IP_MW,Calciner_Eclose_MW,Kiln_I_B_MW,Kiln_I_A_MW,Kiln_eps,Kiln_eps_capped,Kiln_IP_MW,Kiln_Eclose_MW,ClinkerCooler_I_B_MW,ClinkerCooler_I_A_MW,ClinkerCooler_eps,ClinkerCooler_eps_capped,ClinkerCooler_IP_MW,ClinkerCooler_Eclose_MW,plant_I_B_MW,plant_IP_MW,plant_eps,coal_ex_MW,clinker_ex_MW,clinker_T_K,NCV_kJkg,plant_spec_I_MJkg,plant_spec_I_MWMW,clinker_mass_kgps,plant_eps_stream
base,OK,base_case_write_then_solve,100.78,178.9,436.15,8.28,33.6,436.15,48.0,103.0,438.15,363.15,438.15,343.15,593.15,753.15,903.15,973.15,1023.15,593.15,753.15,903.15,973.15,1023.15,1173.15,0.55,0.55,0.65,7.5072,6.4096,0.0749,0,6.9453,0.0,1.5093,1.2592,0.0202,0,1.4788,0.0,11.4312,11.4312,0.3765,0,7.1269,-0.0,36.6269,34.5993,0.7904,0,7.6753,0.0001,37.7092,30.7817,0.4701,0,19.9813,0.0001,15.7216,15.7215,0.5564,0,6.9747,-0.0001,110.5054,50.1824,0.3774,165.7322,64.4525,1430.77,18760.6,1.6403,1.7145,67.3694,0.3791
0,OK,,95.39146,168.77308,413.63219,8.95343,34.88263,397.83064,49.9001,96.44587,476.41566,338.30353,479.88741,329.67357,545.04346,710.17612,937.59475,1047.61289,968.43062,583.96108,803.06848,940.91579,1027.74402,1026.25187,1142.81848,0.59829,0.56633,0.68407,14.4904,13.396,0.0122,0,14.313,-0.0,4.1364,3.8896,0.0037,0,4.1212,-0.0,13.883,13.883,0.3504,0,9.0187,-0.0,40.0476,38.1266,0.6665,0,13.3547,0.0,37.0194,30.4046,0.4602,0,19.9835,-0.0562,14.1432,14.1433,0.557,0,6.2657,0.0,123.7201,67.0567,0.331,179.196,61.0113,1392.59,18760.6,1.9274,2.0278,64.1914,0.3325
1,OK,,94.24769,191.58757,467.39379,8.80634,34.641,409.91729,46.41647,97.12234,472.92232,339.66858,458.12228,342.8667,652.18437,793.20366,859.90426,933.89883,1043.49126,536.59309,780.60741,967.70094,1016.53932,922.30483,1253.49472,0.58781,0.57149,0.65284,7.3928,6.2916,0.0238,0,7.2169,0.0,2.9202,2.6698,0.0103,0,2.8902,-0.0,15.0696,15.0696,0.3217,0,10.2219,0.0,40.7651,38.8692,0.7179,0,11.499,0.0,36.0006,29.5222,0.4571,0,19.5444,0.0001,15.1566,15.1566,0.5598,0,6.6725,-0.0,117.3049,58.0448,0.3323,176.267,60.2795,1459.38,18760.6,1.85,1.946,63.4066,0.3339
2,OK,,110.84761,185.44749,396.52059,7.9206,35.90655,442.31338,49.02931,98.98768,447.8738,342.11172,472.62257,351.06572,575.32494,796.8265,912.62048,1066.32557,987.80539,587.1593,795.30435,953.08618,906.131,1003.48301,1060.31465,0.50648,0.54931,0.65345,12.9975,11.898,0.0199,0,12.7384,0.0,2.5405,2.2861,0.0141,0,2.5048,-0.0,14.9369,14.9369,0.4311,0,8.4974,0.0,30.3462,28.1171,0.9165,0,2.5325,-0.0,39.4909,31.8729,0.4934,0,20.0046,0.0001,16.445,16.445,0.5716,0,7.0443,-0.0,116.757,53.3221,0.4334,158.5486,70.8859,1427.97,18760.6,1.5853,1.6471,73.6485,0.4353
3,OK,,110.23818,188.84165,470.33357,7.85892,33.54573,477.14223,45.71997,105.21222,461.70016,332.33336,436.5848,367.40131,627.43063,825.41336,979.91127,954.68584,1012.08458,573.59995,760.14875,931.7241,1046.92555,1010.34351,1112.30028,0.58381,0.52996,0.65793,6.321,5.2206,0.0158,0,6.2213,0.0,1.4628,1.1996,0.0357,0,1.4106,0.0,14.15,14.15,0.4473,0,7.8209,0.0,35.792,33.5815,0.8276,0,6.1691,-0.0001,36.5559,28.9158,0.5053,0,18.0852,-0.0675,15.8767,15.8768,0.5526,0,7.104,0.0001,110.1585,46.8111,0.4343,157.3386,70.4961,1382.47,18760.6,1.5041,1.5626,73.2367,0.4362
4,OK,,110.74687,192.66775,417.07278,9.04804,30.81497,425.30075,45.97711,105.0652,440.37463,392.42959,408.06451,367.62184,556.505,700.40204,919.99249,890.73544,983.8023,641.58836,680.79879,979.51625,878.86944,921.60068,1189.85231,0.59645,0.55136,0.61524,17.8243,16.7229,0.0661,0,16.6458,0.0,1.2994,1.0353,0.0705,0,1.2077,-0.0,15.5791,15.5791,0.3363,0,10.3396,-0.0,42.0416,39.8224,0.7955,0,8.5983,-0.0003,37.6821,30.0755,0.494,0,19.0671,0.0001,17.4049,17.4052,0.5621,0,7.621,0.0003,131.8314,63.4795,0.3803,181.1457,70.8265,1454.12,18760.6,1.7812,1.8613,74.0127,0.382
5,OK,,101.39402,165.30546,472.6883,8.31241,34.96635,437.38087,43.64156,99.45551,457.69229,386.11981,425.96429,377.41478,646.2104,784.46545,988.26592,1024.33085,1118.65727,540.73534,785.38834,867.05329,936.05925,1089.43931,1074.94932,0.51057,0.58237,0.68109,10.8985,9.8052,0.0805,0,10.021,0.0,1.4078,1.1347,0.0717,0,1.3068,0.0,11.7507,11.7507,0.5106,0,5.7512,-0.0,31.4728,29.4437,0.7061,0,9.2512,-0.0003,39.5146,32.5561,0.4663,0,21.0875,0.0001,15.4662,15.4663,0.5559,0,6.8681,0.0001,110.5105,54.2858,0.3782,166.4364,64.8451,1427.7,18760.6,1.6306,1.7042,67.773,0.3798
6,OK,,99.86289,187.45762,404.77434,8.63323,33.68974,411.50822,46.77811,103.67368,474.76085,334.28821,413.81023,329.06305,598.19267,771.90214,904.73901,913.12366,1075.4775,608.14994,758.67637,863.76025,1040.3757,930.93539,1246.27133,0.58602,0.54464,0.64032,17.2537,16.1537,0.0079,0,17.1179,0.0,1.3915,1.1451,0.011,0,1.3761,0.0,14.452,14.452,0.3523,0,9.3613,0.0,41.0812,39.07,0.7465,0,10.4126,0.0,36.4147,29.5486,0.4718,0,19.2341,0.0001,16.1383,16.1383,0.5563,0,7.1601,0.0,126.7313,64.6621,0.359,172.7868,63.8679,1456.53,18760.6,1.8938,1.9843,66.9192,0.3607
7,OK,,94.81751,193.41147,474.91429,8.75116,36.20934,401.58303,43.82913,93.40957,410.58975,349.09746,449.56082,322.20327,632.57917,823.33521,952.17407,1049.97288,1094.05374,572.65763,708.13088,992.50121,966.2386,973.98785,1139.6891,0.54364,0.53773,0.6227,7.5193,6.4177,0.0278,0,7.3099,0.0,3.1428,2.8961,0.0027,0,3.1344,-0.0,12.9968,12.9968,0.4035,0,7.7529,-0.0,35.7813,33.8714,0.6702,0,11.8011,0.0,36.8792,30.3598,0.4678,0,19.6281,0.0001,15.7465,15.7465,0.5685,0,6.7941,0.0001,112.0659,56.4206,0.3364,175.1415,60.6435,1507.11,18760.6,1.7579,1.8479,63.7488,0.338
8,OK,,106.34906,174.49449,417.95772,7.9303,31.33662,456.98743,52.05629,95.0267,444.28995,338.33997,472.82045,330.6135,602.73775,807.55495,815.14464,1045.64048,1041.51422,576.62197,721.73233,813.70776,996.71821,994.471,1235.90266,0.55828,0.56761,0.61181,8.5309,7.4346,0.0248,0,8.3195,0.0,2.1157,1.87,0.0068,0,2.1013,-0.0,14.5961,14.5961,0.3723,0,9.1624,-0.0,37.1682,35.0264,0.8854,0,4.2576,-0.0,36.3203,29.0084,0.4856,0,18.6817,0.0001,16.3107,16.3107,0.5813,0,6.8292,-0.0,115.0419,49.3516,0.4153,158.7198,68.0106,1459.29,18760.6,1.6252,1.6915,70.7854,0.4172
9,OK,,108.58469,171.1488,433.50055,8.61568,30.59065,428.9453,46.03602,104.3252,409.90526,380.51547,472.48051,343.72983,631.32611,689.98354,854.75768,1030.05334,998.31902,624.58513,804.70333,846.88507,883.69036,1030.61035,1193.79866,0.59878,0.5305,0.66655,16.3007,15.2055,0.0514,0,15.4636,-0.0,2.644,2.3951,0.0115,0,2.6135,-0.0,12.2529,12.2529,0.3885,0,7.4923,0.0,40.7903,38.6058,0.7727,0,9.2722,-0.0,36.4002,28.9361,0.4983,0,18.261,0.0001,17.0031,17.0032,0.5612,0,7.4614,0.0001,125.3912,60.5641,0.3911,172.452,69.4426,1449.58,18760.6,1.7302,1.8057,72.4705,0.3929
10,OK,,105.48871,170.55685,440.94901,8.14895,32.40482,449.88784,51.45907,108.64918,424.09291,389.47841,409.99132,339.63745,651.7908,700.04568,989.20505,982.71899,1097.41427,588.64166,728.41806,904.35629,902.82353,1069.14019,1127.53397,0.59701,0.51597,0.69489,16.1894,15.0943,0.0618,0,15.1886,0.0,1.3169,1.0685,0.0162,0,1.2955,0.0,12.2164,12.2164,0.4916,0,6.2108,-0.0,38.4707,36.3477,0.6933,0,11.8003,0.0,36.948,29.638,0.4899,0,18.8478,-0.0581,15.2311,15.2311,0.5475,0,6.8913,-0.0,120.3725,60.2344,0.4012,163.1049,67.4616,1358.78,18760.6,1.7118,1.7843,70.3202,0.403
11,OK,,102.81985,192.13613,461.33277,7.50218,32.62692,427.43995,50.17464,105.48859,478.60963,330.37885,451.95106,358.4646,643.79024,814.4013,949.14024,1043.72319,997.60607,616.78276,794.77953,818.71196,1020.4405,946.44299,1212.6754,0.56133,0.51394,0.67014,10.0903,8.9891,0.009,0,9.9993,0.0,2.1013,1.8448,0.0224,0,2.0542,-0.0,15.2358,15.2358,0.3492,0,9.9157,0.0,37.03,34.965,0.9236,0,2.8297,0.0,35.5581,28.4932,0.487,0,18.24,0.0001,15.8928,15.8929,0.5555,0,7.0644,0.0001,115.9083,50.1033,0.4238,150.183,65.7529,1420.33,18760.6,1.6952,1.7628,68.3737,0.4257
12,OK,,107.71968,195.39492,424.8399,9.10234,35.50274,458.44122,44.02551,92.92215,468.95595,396.96616,478.45542,376.2544,617.28201,809.43399,844.18928,903.17354,1049.01952,616.42776,679.91989,982.38504,1010.27315,1074.56221,1267.43329,0.52018,0.53407,0.67289,17.4948,16.3927,0.0714,0,16.2451,0.0,2.1991,1.9248,0.0395,0,2.1122,-0.0,14.3313,14.3312,0.3653,0,9.0961,-0.0001,38.0811,35.9259,0.7961,0,7.7633,0.0001,37.3866,29.9954,0.4946,0,18.8937,0.002,20.0634,20.0634,0.5924,0,8.177,0.0,129.5563,62.2873,0.3678,182.2503,68.8918,1660.4,18760.6,1.7968,1.8806,72.1042,0.3693
13,OK,,93.37953,161.587,397.78914,8.11857,34.51758,469.21133,50.02959,102.69331,450.14074,388.56159,449.61786,322.98151,630.66782,689.40417,961.06738,891.21985,965.34783,623.01735,677.92633,969.42137,911.97821,987.94005,1242.27595,0.55586,0.53174,0.66739,19.0017,17.9097,0.0489,0,18.0734,0.0,1.7336,1.4872,0.004,0,1.7266,-0.0,14.868,14.868,0.296,0,10.4672,0.0,38.6348,36.7538,0.8219,0,6.8799,0.0,36.3735,29.953,0.4558,0,19.7934,0.0001,15.1599,15.1599,0.5499,0,6.8242,-0.0,125.7714,63.7647,0.3564,162.4816,59.7216,1442.18,18760.6,2.0094,2.106,62.592,0.3581
14,OK,,97.77173,176.36502,411.4816,7.50085,30.9754,406.85393,50.55099,108.33874,424.18059,378.7691,400.70849,374.90312,619.10336,703.9285,943.09176,992.511,1026.38706,571.39316,774.65417,886.48988,1050.79916,1117.9893,1126.43893,0.53519,0.53717,0.68942,14.8723,13.7754,0.053,0,14.0848,0.0,1.2904,1.0235,0.0907,0,1.1734,-0.0,11.6291,11.6291,0.425,0,6.6868,-0.0,33.4073,31.4497,0.8108,0,6.3215,0.0,37.724,30.9619,0.4633,0,20.2464,-0.0497,14.2295,14.2295,0.5349,0,6.6188,-0.0,113.1526,55.1318,0.4031,150.1824,62.5263,1348.46,18760.6,1.7366,1.8097,65.1562,0.4048
15,OK,,98.40418,177.21141,430.61904,8.27279,30.58547,452.47861,49.04774,111.69636,451.77941,348.12599,430.05295,367.26614,632.48572,694.28438,905.00304,1046.46799,1081.77779,535.32966,753.11784,823.81946,950.0504,1068.24178,1219.09938,0.55044,0.51882,0.65549,8.0298,6.9327,0.038,0,7.7246,0.0,1.3703,1.1079,0.0495,0,1.3024,0.0,13.3052,13.3052,0.3779,0,8.2772,-0.0,38.492,36.5204,0.7471,0,9.7359,0.0007,37.7244,30.9665,0.463,0,20.2567,0.0001,16.115,16.1151,0.5421,0,7.3785,0.0002,115.0367,54.6752,0.3688,165.6242,62.9339,1435.51,18760.6,1.7469,1.8279,65.8526,0.3704
16,OK,,104.21967,192.93406,406.6229,8.31126,31.08764,418.29441,48.82258,112.6188,472.31454,339.37815,450.43841,372.50657,649.17554,796.13806,875.2518,946.46074,967.59115,545.48812,796.99072,938.65995,959.3333,1002.8382,1177.4451,0.56619,0.51887,0.65761,16.6867,15.5852,0.0121,0,16.4846,0.0,2.2251,1.9582,0.0368,0,2.1431,-0.0,14.9124,14.9123,0.3408,0,9.83,-0.0,39.0306,36.9439,0.8303,0,6.624,-0.0,37.9471,30.7223,0.4785,0,19.7876,-0.0685,16.3258,16.3258,0.5449,0,7.43,-0.0001,127.1277,62.2994,0.3888,166.404,66.6512,1411.97,18760.6,1.8273,1.9074,69.5732,0.3905
17,OK,,95.51219,191.97614,403.72163,7.9537,35.83941,406.71041,47.91443,113.22598,411.40879,364.70279,401.88128,333.72276,596.17916,758.72029,949.83077,1039.59852,966.96734,598.73786,732.6108,855.26648,893.4842,1070.63962,1237.99803,0.53746,0.53954,0.671,12.0932,10.992,0.0448,0,11.552,0.0,1.2711,1.0227,0.0157,0,1.2512,-0.0,12.8404,12.8405,0.3144,0,8.8033,0.0,37.9673,36.0441,0.8599,0,5.3192,0.0,38.1187,31.4926,0.45,0,20.9668,-0.0594,15.3256,15.3256,0.5307,0,7.1929,-0.0,117.6163,55.0853,0.3719,159.1909,61.084,1407.71,18760.6,1.841,1.9255,63.8884,0.3737
18,OK,,109.12208,196.75528,397.11691,9.09018,30.99783,465.70313,50.41187,106.17201,478.75961,383.99009,479.10095,337.16024,587.22585,710.03028,883.08499,926.98634,1042.93461,573.24404,825.29092,986.98185,876.16564,956.97317,1092.7528,0.58724,0.53693,0.61041,19.0882,17.9858,0.0511,0,18.1133,0.0,2.0582,1.8115,0.0114,0,2.0347,-0.0,13.3606,13.3606,0.4125,0,7.8499,-0.0,39.7071,37.5106,0.7051,0,11.7079,0.0001,39.3127,31.7409,0.4877,0,20.1384,-0.0699,16.2188,16.2192,0.5592,0,7.1491,0.0004,129.7456,66.9934,0.373,181.9412,69.7881,1398.03,18760.6,1.7775,1.8591,72.9933,0.3748
19,OK,,99.64127,196.67181,424.14763,7.97049,31.92746,421.93237,51.56275,110.03223,481.28499,360.70359,469.09582,322.5863,534.97315,770.33351,923.67818,1060.95465,1080.48068,555.24076,679.07728,845.39114,1055.3946,1036.76747,1195.27929,0.52945,0.58151,0.65292,15.2686,14.1662,0.0293,0,14.8219,0.0,2.9822,2.737,0.0026,0,2.9744,-0.0,13.2785,13.2785,0.3812,0,8.2164,-0.0,35.9152,33.9081,0.8247,0,6.2943,-0.0001,39.779,32.8731,0.4491,0,21.9136,-0.0547,14.8781,14.8782,0.5386,0,6.8654,0.0001,122.1016,61.086,0.3872,159.5177,63.7233,1366.26,18760.6,1.8354,1.9161,66.5261,0.389
20,REJECT,Calciner I_B<0 (-28.03),110.24182,173.40037,460.9732,8.69316,30.48242,416.29864,50.4051,101.17893,452.20831,386.03505,473.61901,326.41503,560.07961,785.94252,906.05611,1035.10918,925.27877,631.67166,801.40269,875.26434,1056.71901,979.94404,1124.03493,0.55771,0.51304,0.62132,11.6786,10.5827,0.0842,0,10.6956,0.0,3.0999,2.8554,0.0038,0,3.0882,-0.0,14.9591,14.9591,0.345,0,9.7982,-0.0,-28.0337,-30.7328,0.8351,0,0.0,-0.4786,38.3369,30.7571,0.4991,0,19.2038,0.0001,17.4092,17.409,0.5754,0,7.3923,-0.0002,57.4499,50.1782,0.3936,173.9839,70.5021,1471.65,18760.6,0.781,0.8149,73.556,0.3955
21,OK,,108.50288,174.8483,412.4615,8.40713,35.21522,472.65714,46.06815,95.81824,472.24842,327.48492,454.83237,320.45834,578.02309,769.03122,974.3627,941.65775,984.79401,601.66674,797.67018,857.9844,977.26641,1018.68141,1177.7861,0.59051,0.58933,0.69279,15.2651,14.1687,0.0056,0,15.1797,-0.0,1.858,1.6115,0.0032,0,1.8522,-0.0,14.4572,14.4572,0.3924,0,8.7849,-0.0,38.3573,36.1718,0.814,0,7.1339,0.0001,36.5669,29.1065,0.4923,0,18.5641,0.0001,15.9834,15.9833,0.5697,0,6.8774,-0.0,122.4879,58.3921,0.4003,168.255,69.3894,1426.86,18760.6,1.6932,1.7652,72.3392,0.4022
22,OK,,105.64054,178.15373,450.70639,8.28365,34.41642,441.46962,45.82946,99.28696,428.64732,377.30834,436.05224,339.89938,645.15201,793.10325,889.09799,1049.23277,1115.2795,542.97894,768.89694,940.69244,1065.35226,1001.42911,1268.20787,0.54244,0.57524,0.61604,12.4438,11.3464,0.0593,0,11.706,0.0,1.4681,1.2188,0.0171,0,1.443,0.0,13.7128,13.7128,0.386,0,8.4193,0.0,37.6163,35.4901,0.8377,0,6.1039,0.0,37.1483,29.8862,0.4789,0,19.3575,0.0001,17.4014,17.4014,0.5718,0,7.4512,0.0,119.7907,54.4809,0.3954,165.8014,67.5593,1507.73,18760.6,1.6999,1.7731,70.4682,0.3972
23,OK,,106.58441,195.94562,446.12363,8.96989,36.78195,419.36338,45.78585,96.39206,422.6801,338.09842,429.74877,349.71347,546.44469,811.31432,952.79143,1024.73333,1112.10019,620.32463,721.81996,815.19322,979.45925,968.68493,1071.49377,0.53398,0.59071,0.67308,4.4172,3.315,0.0372,0,4.2527,0.0,1.7375,1.483,0.0249,0,1.6942,-0.0,12.8779,12.8779,0.4849,0,6.633,-0.0,34.3772,32.2342,0.6991,0,10.3424,-0.0001,40.2603,32.9354,0.4758,0,21.1053,0.0001,16.235,16.235,0.5698,0,6.984,0.0,109.9051,51.0117,0.3691,179.5503,68.1656,1447.81,18760.6,1.5408,1.6123,71.3304,0.3708
24,OK,,95.5305,173.5052,436.55967,8.94895,30.99058,407.94448,45.96824,96.2334,450.53204,374.95637,405.61493,332.41907,610.28692,714.66113,946.0311,969.75733,1062.08264,550.47088,775.1671,860.4046,1013.53374,946.7978,1162.87329,0.57752,0.5358,0.66196,10.3583,9.2623,0.0688,0,9.6458,-0.0,1.2311,0.9855,0.0178,0,1.2091,0.0,12.7667,12.7667,0.3633,0,8.1285,-0.0,39.0344,37.111,0.6602,0,13.263,0.0001,36.4338,29.866,0.4688,0,19.3547,0.0001,15.4693,15.4692,0.5639,0,6.7466,-0.0001,115.2937,58.3478,0.3316,179.109,61.1001,1472.9,18760.6,1.7937,1.887,64.2783,0.3332
25,OK,,99.23082,188.18527,423.36757,8.40629,30.25357,423.44442,47.4669,103.42057,467.71966,382.26419,465.05531,328.27438,632.88487,745.97108,816.04694,1063.60454,931.44679,607.09946,750.24412,927.33715,996.31815,1075.89256,1092.28579,0.5725,0.53603,0.68998,13.7005,12.6003,0.0632,0,12.8352,0.0,2.6225,2.3779,0.005,0,2.6095,-0.0,12.5987,12.5986,0.3867,0,7.7272,-0.0,36.7415,34.743,0.7412,0,9.5091,0.0,37.6303,30.7504,0.4728,0,19.8374,-0.0572,14.6565,14.6564,0.5469,0,6.6402,-0.0001,117.95,59.1586,0.3661,168.2443,63.4629,1380.34,18760.6,1.7755,1.8586,66.4301,0.3679
26,OK,,110.37253,179.08585,478.11844,8.84918,32.68322,476.4104,44.13642,111.68265,430.98097,372.1106,406.20301,355.01009,581.96709,762.39747,928.30727,886.88791,960.3877,609.0567,719.61497,853.9627,954.17071,951.68515,1266.78626,0.53575,0.53748,0.66777,11.2783,10.1806,0.0526,0,10.6851,0.0,1.4151,1.1595,0.0272,0,1.3766,0.0,15.2728,15.2728,0.288,0,10.8744,-0.0,40.986,38.7684,0.9263,0,3.0217,0.0001,39.1463,31.5625,0.4837,0,20.21,0.0004,19.467,19.4673,0.5598,0,8.5688,0.0003,127.5654,54.7367,0.3873,177.1422,70.5863,1537.48,18760.6,1.7309,1.8072,73.6986,0.3891
27,OK,,91.35031,164.82348,467.52043,8.49219,36.26972,393.5379,43.2423,107.11506,460.43285,388.19541,459.01048,314.48297,586.96128,709.57851,848.6261,1063.79607,963.17383,617.55948,704.24595,955.14476,1003.09043,1066.24515,1121.32835,0.53035,0.521,0.6262,10.4276,9.3345,0.0834,0,9.5585,0.0,3.9497,3.7025,0.001,0,3.9458,-0.0,12.2058,12.2059,0.3489,0,7.9474,0.0,35.509,33.6689,0.7192,0,9.9692,-0.0003,38.3062,32.0254,0.4496,0,21.0826,0.0001,15.052,15.052,0.5344,0,7.0085,0.0001,115.4504,59.5119,0.3338,169.9539,58.4262,1439.61,18760.6,1.879,1.976,61.4408,0.3353
28,OK_CAPPED,Calciner eps 1.04->1.00,108.91658,191.72477,454.24568,7.4571,33.52769,403.50238,47.21548,107.56692,471.83587,333.01915,437.48878,353.72121,637.43255,770.955,868.80007,945.99078,1031.24755,542.61911,785.21041,856.19411,955.18383,973.51514,1201.82015,0.51136,0.57198,0.60096,9.4609,8.3598,0.0128,0,9.3396,0.0,2.328,2.0736,0.0176,0,2.287,-0.0,14.2931,14.2931,0.3749,0,8.9348,0.0,33.8626,31.6729,1.0,1,0.0,-0.0001,38.4203,30.9355,0.4806,0,19.9564,0.0001,16.6283,16.6284,0.5552,0,7.3968,0.0001,114.9933,47.9146,0.4516,149.274,69.6496,1420.42,18760.6,1.5918,1.651,72.2418,0.4536
29,OK,,92.32419,179.19812,425.27834,7.86633,33.30044,411.63279,50.10866,109.12768,474.94202,350.13473,402.70852,320.43778,537.81435,800.78263,886.28994,894.72228,1095.58701,590.33005,802.83942,947.86592,1003.5322,983.22334,1252.51677,0.53279,0.56548,0.61701,12.9931,11.8954,0.0224,0,12.7024,0.0,1.341,1.095,0.0045,0,1.3349,-0.0,14.4303,14.4304,0.3382,0,9.5503,0.0,37.0785,35.2186,0.8168,0,6.7941,-0.0002,38.3175,31.9168,0.4369,0,21.5763,-0.0527,14.4539,14.4535,0.53,0,6.7929,-0.0004,118.6143,58.7508,0.3634,157.4317,59.046,1388.24,18760.6,1.9186,2.0088,61.8236,0.3651
30,OK,,93.74164,192.04887,470.18644,8.94944,32.06831,406.09231,46.56883,99.82729,464.665,375.51829,427.04284,322.54236,550.02431,694.06612,979.02448,926.68463,1081.62631,536.07435,766.31592,948.41797,1022.40845,941.54525,1135.00475,0.50926,0.55596,0.62674,5.6531,4.5519,0.1184,0,4.9836,0.0,2.004,1.7592,0.0044,0,1.9952,0.0,14.6905,14.6905,0.345,0,9.6217,0.0,35.0696,33.1814,0.7085,0,10.2213,0.0,39.8737,33.4282,0.4447,0,22.1419,0.0001,15.7889,15.789,0.5587,0,6.9677,0.0,113.0799,55.9314,0.3254,179.11,59.9567,1488.46,18760.6,1.791,1.886,63.1385,0.3269
31,OK,,104.31818,189.64915,442.94222,8.61353,32.06511,432.80074,46.98034,101.57643,471.51041,355.07762,461.18928,325.14277,628.30438,780.48015,970.06328,1030.12957,1061.36847,634.22875,737.49978,941.57883,913.91294,943.79608,1075.09006,0.533,0.53871,0.66494,10.2405,9.1398,0.0382,0,9.8492,0.0,2.4137,2.1685,0.0043,0,2.4033,-0.0,11.918,11.918,0.4496,0,6.5602,0.0,34.3435,32.2422,0.7495,0,8.6033,-0.0001,39.4145,32.242,0.4791,0,20.5321,0.0001,16.2098,16.2099,0.5621,0,7.0985,0.0001,114.5399,55.0466,0.3759,172.3893,66.7155,1441.63,18760.6,1.6421,1.7168,69.7509,0.3776
32,OK,,92.48379,192.43458,395.99181,7.86912,35.05439,442.43966,51.61653,93.52205,397.13691,329.0462,471.59525,324.32482,633.59305,781.09197,894.39453,888.63029,972.99816,542.90442,818.91083,866.79415,1039.73524,948.60875,1238.77098,0.58279,0.55107,0.64619,3.8961,2.7948,0.017,0,3.83,0.0,2.6973,2.4504,0.0032,0,2.6886,-0.0,15.7101,15.71,0.3014,0,10.9756,-0.0,38.2579,36.395,0.8127,0,7.1643,-0.0,34.5734,28.1563,0.4617,0,18.6098,-0.0581,14.0573,14.0572,0.5607,0,6.1752,-0.0,109.192,49.4435,0.3639,157.4901,59.148,1415.67,18760.6,1.7633,1.8461,61.9264,0.3656
33,OK,,95.43895,187.42754,478.58136,7.53752,36.02533,437.61321,51.70962,92.7824,440.47731,379.67821,406.92172,310.23252,559.61619,789.31819,890.48581,1040.79974,1004.63049,620.01748,704.49,962.08314,1028.90885,979.52308,1147.86617,0.56778,0.56676,0.6843,10.5292,9.4291,0.0596,0,9.9021,0.0,1.6882,1.4401,0.001,0,1.6866,0.0,12.1572,12.1572,0.3768,0,7.5767,-0.0,34.3517,32.4297,0.8166,0,6.301,0.0,35.4796,28.8675,0.4677,0,18.8859,-0.0503,13.3737,13.3736,0.5592,0,5.8945,-0.0001,107.5796,50.2467,0.3916,150.8465,61.0354,1361.55,18760.6,1.6893,1.7626,63.6836,0.3935
34,OK,,94.31168,194.83542,401.14278,8.99893,30.82167,479.70529,51.93827,95.47417,434.68395,396.48168,441.41287,335.62025,627.14431,784.36335,855.53949,911.78576,928.6603,586.73678,801.78544,945.50502,1006.03459,1006.32427,1138.26523,0.56285,0.52864,0.68725,20.3819,19.28,0.0537,0,19.2883,0.0,1.491,1.2448,0.0121,0,1.473,0.0,11.9317,11.9317,0.3084,0,8.2524,-0.0,38.6457,36.747,0.7057,0,11.3729,-0.0001,37.5401,31.0564,0.4599,0,20.2752,0.0001,15.1993,15.1993,0.5673,0,6.5774,0.0001,125.1898,67.2392,0.3256,180.1129,60.3213,1460.89,18760.6,1.9709,2.0754,63.5206,0.3271
35,OK,,103.94775,162.12149,449.33503,8.90313,35.42745,462.1272,50.29204,96.61519,429.80561,382.14929,411.03773,366.07846,615.9743,724.11097,954.88981,951.36226,947.43777,650.17381,758.45676,826.64725,946.48749,985.16788,1085.95438,0.58597,0.57307,0.69759,13.8899,12.7977,0.0599,0,13.0578,0.0,1.4195,1.1548,0.0421,0,1.3597,-0.0,11.0965,11.0965,0.3923,0,6.7432,-0.0,37.9601,35.8772,0.7321,0,10.1709,0.0002,38.2732,31.0706,0.4778,0,19.987,-0.0629,14.8971,14.8971,0.5666,0,6.4562,-0.0001,117.5362,57.7748,0.3626,178.2416,66.48,1387.69,18760.6,1.6881,1.768,69.6248,0.3642
